"pointid","xcoord","ycoord"
1,777216.473649379,2456104.05493463
2,777825.05384919,2456062.56974146
3,777994.800521243,2455535.05462831
4,778683.866007805,2454403.80431454
5,779376.3689938,2453997.32818146
6,780397.567425683,2453714.70272799
7,784610.39613213,2451304.48592478
8,785047.38566019,2451196.39074257
9,789500.225727126,2449340.5430481
10,790985.955382533,2448064.74855813
11,789996.716945391,2449008.47190277
12,795134.624199547,2450660.05663087
13,798736.939006504,2453431.96907454
14,798886.683381852,2455465.67223973
15,799016.420860492,2454276.10833557
16,798951.924371108,2455690.28290275
17,800874.842954542,2456356.70069304
18,802045.745061781,2455708.55469975
19,801992.519770544,2455705.44090026
20,802225.710032154,2455312.99486486
21,805437.273103438,2453989.11988281
22,806100.141494311,2454157.18895514
23,808977.940720543,2454692.18926707
24,795942.328266576,2446472.38462028
25,795991.389858499,2450254.95659756
26,796235.99001823,2449518.00111889
27,797791.43336216,2449302.8480543
28,798506.104844503,2449105.27928683
29,800119.743278854,2447200.95290034
30,800015.034896091,2450874.78019552
31,799790.817433003,2456765.50532574
32,799865.231320754,2456783.90782271
33,800172.930670097,2456839.8544135
34,799377.773101002,2456954.57229462
35,799674.592452139,2456873.63040794
36,799122.657443002,2457027.15168267
37,799199.281730387,2457002.0651868
38,798982.307366107,2457242.5838472
39,799904.429114301,2456703.61363593
40,799869.294920087,2456745.94632896
41,799959.391405251,2456499.54406952
42,802930.955916051,2456683.90073918
43,801866.929991219,2456785.31372248
44,803284.094657913,2456911.09370177
45,803670.908194233,2457157.23236125
46,804349.797582466,2458130.96280095
47,804619.089038134,2458761.37239716
48,804717.752821892,2459150.82853305
49,807670.622235768,2459535.10756979
50,807556.351154577,2459530.59947053
51,807591.281748828,2458940.3656677
52,798824.938092016,2456186.2391211
53,798763.564002119,2456402.42538551
54,798694.609113473,2455473.29633847
55,798624.185025066,2455511.85673213
56,798568.833034176,2455767.10209011
57,798152.953702644,2455983.81625443
58,799256.462520976,2452389.00614624
59,798772.956200574,2453405.08697896
60,799370.92140213,2452296.25136151
61,789899.887261331,2449925.13385186
62,792126.85409471,2452507.02242681
63,785203.873034429,2452410.73224266
64,789901.22126111,2457215.64855164
65,789203.426275987,2456518.43346642
66,785063.085357606,2452465.1817337
67,782643.415655952,2454010.16617935
68,798773.584500469,2453467.06306876
69,801400.813667953,2456919.50020039
70,800728.814778585,2456583.4999557
71,817976.916839059,2464070.7111231
72,819019.056767493,2464407.71526762
73,819097.655754555,2463527.75571248
74,819319.449918039,2460371.96433202
75,819305.426720347,2461105.40461127
76,819044.336863331,2457947.30963118
77,819295.915321913,2456768.58952523
78,819343.592814066,2457101.63177041
79,819014.238568287,2455195.90648414
80,818803.31450301,2454583.71318492
81,821570.403447468,2452443.35993729
82,822585.607980337,2451673.41176404
83,826681.499906037,2451834.85383747
84,827565.00216059,2451055.51556577
85,828042.85378192,2451023.27067108
86,828749.05166566,2451817.67344029
87,830494.587378297,2452627.39400699
88,830345.022302918,2452664.3869009
89,833460.780189976,2453155.53382004
90,837308.885856468,2456280.37920561
91,842004.389483459,2456266.71670786
92,846479.36894675,2453553.24905457
93,846656.140317649,2453273.31640065
94,847094.355045505,2451844.14183594
95,847901.438112635,2448534.64058077
96,848288.306148946,2460175.68996433
97,850214.788931794,2461133.1986067
98,854039.861302078,2464066.21962384
99,854703.662592798,2464485.85955475
100,857255.757772651,2465729.64704999
101,835090.194321729,2452480.29353121
