rid,binaryID
2,11
3,111
4,1111
5,11111
6,111111
7,1111111
8,11111110
9,1111111001
10,111111100
11,11111110010
12,111111100100
13,111111100100111
14,1111111001001110
15,11111110010011100
16,111111100100111001011
17,1111111001001110010111
18,11111110010011100101111
19,111111100100111001011111
20,1111111001001110010111111
21,11111110011
22,111111100101
23,1111111001010
24,11111110010100
25,111111100101001
26,11111110010101
27,1111111001011
28,111111100100111001111
29,11111110010011100111
30,11111110010011100111101
31,1111111001001110011110111
32,1111111001001110011110
33,11111110010011100111101111
34,111111100100111001111011
35,11111110010011100111111
36,111111100100111001111111
37,1111111001001110011111
38,111111100100111001001
39,1111111001001110010011
40,11111110010011100100111
41,111111100100111001001111
42,1111111001001110010011111
43,11111110010011100100111111
44,11111110010011100101111111
45,111111100100111001011111111
46,1111111001001110010111111111
47,11111110010011101
48,111111100100111011
49,1111111001001111
50,11111110010011111
51,111111100100111111
52,1111111001001111111
53,111111100100101
54,1111111001001011
55,111111101
56,1111111011
57,11111111
58,1111111101
59,111111110
60,111111111
61,1111111111
62,11111110010010
63,11111110010011
64,1111111001001
65,11111110010011100100
66,1111111001001110010
67,1111111001001110011
68,111111100100111001
69,11111110010011100101
1,1
