"rid","fromnode","tonode"
1,1,2
2,3,1
3,4,3
4,5,4
5,6,5
6,7,6
7,8,7
8,9,8
9,10,11
10,11,9
11,12,10
12,13,12
13,14,15
14,16,14
15,17,16
16,18,19
17,20,18
18,21,20
19,22,21
20,23,22
21,24,10
22,25,12
23,26,25
24,27,26
25,28,27
26,29,26
27,30,25
28,31,32
29,32,33
30,34,35
31,36,37
32,35,31
33,38,36
34,37,34
35,39,40
36,41,39
37,40,31
38,42,43
39,44,42
40,45,44
41,46,45
42,47,46
43,48,47
44,49,23
45,50,49
46,51,50
47,52,16
48,53,52
49,54,14
50,55,54
51,56,55
52,57,56
53,58,59
54,60,58
55,61,9
56,62,61
57,63,8
58,64,65
59,65,63
60,66,63
61,67,66
62,59,68
63,15,68
64,68,13
65,43,69
66,69,70
67,33,70
68,70,17
69,19,69
70,71,72
71,73,71
72,74,75
73,76,74
74,77,78
75,79,77
76,80,79
77,81,80
78,82,81
79,83,82
80,84,83
81,85,84
82,86,85
83,87,88
84,89,87
85,90,89
86,91,90
87,92,91
88,93,92
89,94,93
90,95,94
91,96,90
92,97,96
93,98,97
94,99,98
95,100,99
96,101,89
97,102,101
98,103,102
99,104,103
100,105,96
101,106,82
102,107,106
103,108,109
104,110,108
105,111,110
106,112,84
107,113,112
108,114,113
109,115,116
110,117,105
111,118,119
112,120,71
113,121,120
114,122,121
115,123,120
116,124,125
117,126,80
118,127,126
119,128,126
120,129,106
121,130,113
122,131,112
123,132,85
124,133,132
125,134,133
126,135,134
127,136,137
128,137,132
129,138,134
130,139,138
131,140,141
132,141,138
133,142,133
134,143,101
135,144,143
136,145,143
137,146,102
138,147,94
139,148,91
140,149,148
141,150,148
142,151,97
143,152,100
144,153,152
145,154,155
146,156,154
147,157,156
148,158,157
149,159,156
150,160,161
151,162,83
152,163,81
153,164,165
154,125,166
155,167,127
156,168,127
157,169,168
158,170,107
159,171,172
160,173,153
161,174,173
162,175,105
163,116,175
164,109,170
165,172,100
166,176,172
167,155,174
168,177,73
169,75,177
170,166,177
171,178,76
172,165,178
173,78,178
174,88,179
175,179,180
176,161,180
177,180,86
