"fromedge","toedge"
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,10
10,8
11,9
12,11
13,63
14,13
15,14
16,69
17,16
18,17
19,18
20,19
21,9
22,11
23,22
24,23
25,24
26,23
27,22
28,29
29,67
30,32
31,34
32,28
33,31
34,30
35,37
36,35
37,28
38,65
39,38
40,39
41,40
42,41
43,42
44,20
45,44
46,45
47,14
48,47
49,13
50,49
51,50
52,51
53,62
54,53
55,8
56,55
57,7
58,59
59,57
60,57
61,60
62,64
63,64
64,12
65,66
66,68
67,68
68,15
69,66
71,70
72,169
73,72
74,173
75,74
76,75
77,76
78,77
79,78
80,79
81,80
82,81
83,174
84,83
85,84
86,85
87,86
88,87
89,88
90,89
91,85
92,91
93,92
94,93
95,94
96,84
97,96
98,97
99,98
100,91
101,78
102,101
103,164
104,103
105,104
106,80
107,106
108,107
109,163
110,100
112,70
113,112
114,113
115,112
116,154
117,76
118,117
119,117
120,101
121,107
122,106
123,81
124,123
125,124
126,125
127,128
128,123
129,125
130,129
131,132
132,129
133,124
134,96
135,134
136,134
137,97
138,89
139,86
140,139
141,139
142,92
143,95
144,143
145,167
146,145
147,146
148,147
149,146
150,176
151,79
152,77
153,172
154,170
155,118
156,118
157,156
158,102
159,165
160,144
161,160
162,100
163,162
164,158
165,95
166,165
167,161
168,71
169,168
170,168
171,73
172,171
173,171
174,175
175,177
176,177
177,82
